Provinsi,Singkatan ISO[1],Ibukota,Populasi,Luas Total (km²),APBD 2014 (miliar rupiah)
 Aceh,AC,Banda Aceh,4.906.835,86,130.45
 Bali,BA,Denpasar,4.104.900,738,156.45
 Banten,BT,Serang,11.704.877,1.298,432.76
 Bengkulu,BE,Bengkulu,1.844.800,93,45.24
 Gorontalo,GO,Gorontalo,1.115.633,93,25.2
 Jakarta,JK,Jakarta,10.012.271,13.53,1.761.41
 Jambi,JA,Jambi,3.344.400,63,153.86
 Jawa Barat,JB,Bandung,46.029.668,1.306,1.385.96
 Jawa Tengah,JT,Semarang,33.522.663,986,925.66
 Jawa Timur,JI,Surabaya,38.610.202,806,1.540.70
 Kalimantan Barat,KB,Pontianak,4.716.093,41,131.93
 Kalimantan Selatan,KS,Banjarmasin,3.922.790,107,131.59
 Kalimantan Tengah,KT,Palangkaraya,2.439.858,16,89.87
 Kalimantan Timur,KI,Samarinda,3.351.432,17,519.93
 Kalimantan Utara,KU,Tanjungselor,618.384,9,59.08
 Kepulauan Bangka Belitung,BB,Pangkalpinang,1.343.900,82,56.39
 Kepulauan Riau,KR,Tanjung Pinang,1.917.415,237,182.92
 Lampung,LA,Bandar Lampung,8.026.191,227,231.01
 Maluku,MA,Ambon,1.657.409,34,31.73
 Maluku Utara,MU,Sofifi,1.138.667,27,24.05
 Nusa Tenggara Barat,NB,Mataram,4.773.795,239,82.25
 Nusa Tenggara Timur,NT,Kupang,5.036.897,106,68.6
 Papua,PA,Jayapura,3.091.047,10,123.18
 Papua Barat,PB,Manokwari,849.809,7,58.29
 Riau,RI,Pekanbaru,6.188.442,66,679.69
 Sulawesi Barat,SR,Mamuju,1.258.090,75,29.39
 Sulawesi Selatan,SN,Makassar,8.432.163,183,300.12
 Sulawesi Tengah,ST,Palu,2.831.283,42,90.26
 Sulawesi Tenggara,SG,Kendari,2.448.081,67,78.62
 Sulawesi Utara,SA,Manado,2.386.604,171,80.62
 Sumatra Barat,SB,Padang,5.131.900,121,167.04
 Sumatra Selatan,SS,Palembang,7.941.500,93,308.41
 Sumatra Utara,SU,Medan,13.766.851,189,523.77
 Yogyakarta,YO,Yogyakarta,3.553.100,1.134,93.45
